iter	Passed	Remaining
0	6	9818
1	11	8323
2	17	8929
3	23	8801
4	29	8946
5	36	9044
6	42	8962
7	58	10948
8	64	10761
9	83	12438
10	97	13169
11	108	13448
12	118	13528
13	129	13714
14	137	13657
15	145	13454
16	152	13292
17	160	13174
18	164	12790
19	169	12516
20	175	12356
21	181	12204
22	186	12000
23	193	11883
24	198	11691
25	202	11498
26	207	11327
27	212	11160
28	216	10957
29	221	10876
30	226	10712
31	231	10621
32	236	10535
33	242	10474
34	247	10354
35	252	10257
36	258	10232
37	264	10182
38	268	10054
39	273	9996
40	279	9958
41	283	9842
42	287	9748
43	290	9620
44	295	9549
45	300	9490
46	305	9445
47	308	9319
48	312	9256
49	316	9173
50	319	9081
51	324	9044
52	328	8971
53	333	8937
54	336	8837
55	341	8807
56	347	8789
57	349	8692
58	355	8685
59	360	8656
60	364	8593
61	369	8560
62	374	8531
63	378	8500
64	383	8466
65	389	8457
66	394	8445
67	398	8398
68	405	8415
69	411	8411
70	415	8370
71	421	8357
72	426	8336
73	430	8302
74	436	8297
75	440	8257
76	445	8226
77	449	8196
78	454	8184
79	460	8169
80	464	8140
81	469	8123
82	474	8099
83	479	8082
84	483	8050
85	486	7998
86	490	7971
87	495	7956
88	500	7928
89	508	7959
90	513	7958
91	520	7966
92	523	7917
93	528	7899
94	534	7904
95	540	7901
96	545	7893
97	548	7844
98	554	7851
99	559	7836
100	560	7768
101	565	7752
102	570	7731
103	573	7692
104	578	7686
105	585	7702
106	590	7693
107	594	7664
108	601	7676
109	603	7623
110	608	7620
111	614	7616
112	620	7613
113	624	7597
114	630	7589
115	635	7584
116	640	7568
117	646	7571
118	652	7573
119	657	7556
120	663	7560
121	669	7557
122	674	7548
123	676	7507
124	683	7516
125	688	7511
126	691	7479
127	697	7480
128	703	7479
129	709	7479
130	714	7470
131	721	7475
132	723	7433
133	726	7402
134	731	7400
135	737	7395
136	743	7398
137	748	7386
138	753	7380
139	760	7386
140	766	7384
141	770	7369
142	772	7330
143	778	7326
144	784	7328
145	789	7319
146	791	7282
147	796	7275
148	801	7263
149	805	7252
150	810	7239
151	816	7237
152	820	7227
153	825	7212
154	830	7205
155	837	7214
156	842	7205
157	848	7203
158	852	7192
159	859	7196
160	865	7200
161	871	7201
162	877	7196
163	882	7192
164	888	7189
165	894	7190
166	900	7184
167	905	7178
168	911	7175
169	916	7172
170	922	7172
171	928	7166
172	932	7155
173	938	7149
174	943	7142
175	946	7123
176	952	7118
177	958	7121
178	964	7118
179	970	7114
180	977	7120
181	981	7109
182	986	7099
183	992	7100
184	998	7098
185	1003	7091
186	1009	7086
187	1014	7079
188	1019	7071
189	1025	7072
190	1030	7061
191	1035	7052
192	1041	7053
193	1047	7048
194	1053	7047
195	1059	7048
196	1066	7051
197	1072	7054
198	1077	7046
199	1083	7045
200	1090	7047
201	1096	7047
202	1101	7040
203	1108	7040
204	1112	7029
205	1118	7026
206	1125	7031
207	1131	7031
208	1136	7020
209	1140	7005
210	1144	6991
211	1150	6990
212	1156	6989
213	1161	6979
214	1167	6980
215	1173	6975
216	1179	6972
217	1184	6967
218	1191	6967
219	1196	6960
220	1201	6956
221	1209	6960
222	1213	6948
223	1217	6936
224	1222	6929
225	1228	6925
226	1233	6915
227	1237	6904
228	1242	6897
229	1247	6888
230	1252	6880
231	1257	6871
232	1261	6861
233	1266	6853
234	1271	6846
235	1276	6837
236	1281	6829
237	1288	6830
238	1294	6829
239	1298	6818
240	1304	6812
241	1310	6810
242	1315	6806
243	1320	6795
244	1326	6793
245	1331	6788
246	1337	6784
247	1344	6786
248	1349	6778
249	1353	6766
250	1357	6753
251	1361	6742
252	1365	6732
