"AARTSELAAR","5,2%","","51.1319 4.3827","Aartselaar"
"ANVERS","18,2%","","51.2609 4.3695","Antwerp"
"BOECHOUT","5,9%","","51.1605 4.5105","Boechout"
"BOOM","10,3%","","51.0937 4.3731","Boom"
"BORSBEEK","10,0%","","51.1915 4.488","Borsbeek"
"BRASSCHAAT","7,1%","","51.31 4.4995","Brasschaat"
"BRECHT","5,3%","","51.329 4.594","Brecht"
"EDEGEM","6,8%","","51.159 4.4305","Edegem"
"ESSEN","7,8%","","51.4485 4.4635","Essen"
"HEMIKSEM","7,0%","","51.1455 4.3405","Hemiksem"
"HOVE","5,1%","","51.1474 4.482","Hove"
"KALMTHOUT","6,3%","","51.3988 4.4689","Kalmthout"
"KAPELLEN","5,3%","","51.3339 4.4438","Kapellen"
"KONTICH","5,4%","","51.1237 4.4445","Kontich"
"LINT","4,9%","","51.129 4.511","Lint"
"MORTSEL","7,9%","","51.1746 4.4612","Mortsel"
"NIEL","6,3%","","51.1055 4.3395","Niel"
"RANST","5,0%","","51.1927 4.5907","Ranst"
"RUMST","4,7%","","51.0938 4.4214","Rumst"
"SCHELLE","4,0%","","51.1226 4.3429","Schelle"
"SCHILDE","6,1%","","51.2561 4.5814","Schilde"
"SCHOTEN","6,4%","","51.2642 4.5083","Schoten"
"STABROEK","4,6%","","51.327 4.3715","Stabroek"
"WIJNEGEM","7,4%","","51.2296 4.5168","Wijnegem"
"WOMMELGEM","6,5%","","51.205 4.522","Wommelgem"
"WUUSTWEZEL","6,1%","","51.3855 4.5545","Wuustwezel"
"ZANDHOVEN","5,7%","","51.2114 4.6793","Zandhoven"
"ZOERSEL","4,8%","","51.2565 4.6455","Zoersel"
"ZWIJNDRECHT","7,9%","","51.224 4.3235","Zwijndrecht"
"MALLE","6,6%","","51.2934 4.7135","Malle"
"BERLAAR","6,3%","","51.1072 4.6561","Berlaar"
"BONHEIDEN","4,9%","","51.0185 4.569","Bonheiden"
"BORNEM","5,3%","","51.0915 4.2055","Bornem"
"DUFFEL","6,2%","","51.095 4.487","Duffel"
"HEIST-OP-DEN-BERG","5,7%","","51.063 4.723","Heist-op-den-Berg"
"LIERRE","8,7%","","51.1195 4.5745","Lier"
"MALINES","9,6%","","51.0288 4.4503","Mechelen"
"NIJLEN","5,6%","","51.1515 4.6855","Nijlen"
"PUTTE","5,6%","","51.0506 4.6364","Putte"
"WAVRE-SAINTE-CATHERINE","5,2%","","51.0625 4.5455","Sint-Katelijne-Waver"
"WILLEBROEK","8,2%","","51.05 4.357","Willebroek"
"PUURS-SINT-AMANDS","5,6%","","51.0645 4.2995","Puurs-Sint-Amands"
"ARENDONK","5,6%","","51.3346 5.0854","Arendonk"
"BAERLE-DUC","11,6%","","51.405 4.902","Baarle-Hertog"
