iter	RMSE
0	452730.3916
1	433191.506
2	416278.3631
3	401745.3393
4	389047.0794
5	376364.9931
6	366080.0615
7	356532.4612
8	349042.5924
9	342766.225
10	336573.6599
11	330912.0084
12	325896.3447
13	320664.2508
14	316248.3543
15	312251.3162
16	309236.4303
17	306622.8209
18	302868.1838
19	299800.7244
20	297611.4565
21	295791.4399
22	293411.1857
23	291705.8426
24	290147.4674
25	288009.8353
26	286561.5714
27	284612.8752
28	283215.9458
29	281552.4594
30	279640.611
31	278246.2483
32	277261.3848
33	275825.1999
34	274227.4248
35	273231.5753
36	271879.4326
37	271305.8203
38	269918.0185
39	268963.1891
40	268199.2198
41	267703.9774
42	266904.8918
43	265867.8937
44	265373.9943
45	264585.9039
46	263122.9773
47	262227.9394
48	261874.9218
49	261031.5124
50	260458.2794
51	260009.9614
52	259500.677
53	258852.984
54	258445.5594
55	257907.012
56	257539.2951
57	257237.0383
58	256866.0255
59	256588.0685
60	256247.6892
61	255598.7276
62	254976.2522
63	254598.4531
64	254239.5235
65	254224.8726
66	253979.8917
67	253597.7026
68	253585.4436
69	253186.9367
70	252833.8188
71	252018.8679
72	251514.9598
73	251077.7672
74	250666.9198
75	250168.6844
76	249910.1358
77	249403.7249
78	249236.6457
79	248888.8422
80	248533.0675
81	248448.2212
82	247618.4809
83	246939.3655
84	246494.1719
85	246003.1534
86	245996.6799
87	244959.7402
88	244724.4451
89	244162.624
90	243889.5375
91	243668.5735
92	243660.6007
93	243457.4652
94	243366.5067
95	243223.9817
96	243102.82
97	242719.2701
98	242495.4857
99	241866.7079
100	241741.0809
101	241584.9526
102	241396.5174
103	241140.285
104	240967.9362
105	240813.2989
106	240801.5952
107	240796.7726
108	240565.7649
109	239414.44
110	239069.2948
111	238416.6354
112	238212.9555
113	238046.1066
114	237813.3669
115	237223.1659
116	236978.2771
117	236641.0532
118	236288.9804
119	235944.4114
120	234911.6067
121	234822.7633
122	234720.0093
123	234184.6652
124	233983.4121
125	233633.6746
126	233520.2141
127	233014.0047
128	232767.3347
129	232656.7105
130	232487.7874
131	232272.5932
132	232086.2537
133	232003.2899
134	231648.9997
135	231257.2007
136	231148.8143
137	230940.9118
138	230564.5301
139	230558.055
140	230178.4397
141	230035.6353
142	229639.5044
143	229375.0319
144	229356.1484
145	229339.3701
146	228808.1529
147	228690.8642
148	228446.1347
149	228344.6397
150	228206.7839
151	228192.1284
152	227919.8733
153	227524.5913
154	227319.49
155	226574.1225
156	226422.6313
157	226099.4992
158	226011.6892
159	225843.0206
160	225546.7638
161	225325.4799
162	224839.7808
163	224542.9002
164	224426.8171
165	224320.3115
166	224108.7558
167	223866.9492
168	223798.984
169	223454.7156
170	223349.833
171	223011.9172
172	222876.1429
173	222833.6171
174	222777.9883
175	222305.0453
176	222224.5949
177	222074.518
178	221972.3304
179	221640.3193
180	221311.4072
181	221185.6236
182	221068.262
183	220668.1532
184	220575.851
185	220432.0193
186	220271.8964
187	220008.5321
188	219844.1211
189	219609.1346
190	219102.5421
191	219031.7214
192	218793.5991
193	218707.4622
194	218652.3883
195	218502.4578
196	217889.8305
197	217672.2873
198	217465.2418
199	217175.3218
200	217091.3342
201	216817.6314
202	216604.7044
203	216570.404
204	216497.0333
205	216356.611
206	216221.664
207	216015.1853
208	215980.7849
209	215805.7161
210	215582.0153
211	215461.1178
212	215324.2081
213	215125.2599
214	214862.9306
215	214822.3732
216	214721.1473
217	214524.0258
218	214432.7219
219	214303.0946
220	214216.3094
221	214162.4945
222	214022.6772
223	213854.1422
224	213809.1569
225	213723.4605
226	213616.5619
227	213395.7658
228	213220.8351
229	212871.0665
230	212640.1974
231	212402.3044
232	212122.9471
233	211982.4971
234	211805.5345
235	211461.4308
236	211290.9154
237	211165.9662
238	210808.1871
239	210750.169
240	210630.0422
241	210593.4026
242	210412.4061
243	210373.2398
244	210233.9106
245	210116.2854
246	210044.8184
247	210011.4255
248	209865.6067
249	209744.4682
250	209574.9444
251	209385.6251
252	209253.9382
253	209126.1918
254	209078.1535
255	209013.4502
256	208787.2171
257	208563.775
258	208419.9923
259	208321.2821
260	208140.1842
261	208102.2516
262	208041.0245
263	207897.8959
264	207652.6862
265	207504.7258
266	207376.0091
267	207329.0491
268	207285.4054
269	207216.8003
270	207118.9856
271	206996.1998
272	206838.5024
273	206651.1779
274	206627.2664
275	206448.0452
276	206388.4175
277	206301.3916
278	205914.3249
279	205874.0167
280	205715.9292
281	205496.6585
282	205402.9391
283	205274.6725
284	205252.4624
285	205198.6456
286	205141.1565
287	205037.7748
288	204863.7613
289	204773.9858
