iter	RMSE_SumError	RMSE_SumWeight	MAE_SumError	MAE_SumWeight
0	5.007963984e+14	3343	788135104.1	3343
1	4.572924455e+14	3343	748722210.8	3343
2	4.253518741e+14	3343	716422487.5	3343
3	3.992214034e+14	3343	684706156.4	3343
4	3.706157395e+14	3343	656601659.9	3343
5	3.54993141e+14	3343	638952073.7	3343
6	3.443436204e+14	3343	624764417.1	3343
7	3.318185573e+14	3343	608426663.5	3343
8	3.148766587e+14	3343	589356638.7	3343
9	3.048551087e+14	3343	576935946.2	3343
10	3.003590569e+14	3343	570565654.2	3343
11	2.942908539e+14	3343	562553200.6	3343
12	2.917243012e+14	3343	558165001.4	3343
13	2.874231743e+14	3343	551678294.7	3343
14	2.796602962e+14	3343	541517803	3343
15	2.734075896e+14	3343	533529738.6	3343
16	2.721452163e+14	3343	531185758.4	3343
17	2.64215388e+14	3343	523230087.2	3343
18	2.607070356e+14	3343	518158296.7	3343
19	2.56324899e+14	3343	513101786.6	3343
20	2.530252563e+14	3343	507446831.2	3343
21	2.515567953e+14	3343	504771869.7	3343
22	2.487650797e+14	3343	500131076.9	3343
23	2.483051865e+14	3343	499219783.9	3343
24	2.481348909e+14	3343	498265363.4	3343
25	2.448077209e+14	3343	494840548.9	3343
26	2.40103845e+14	3343	489482646.5	3343
27	2.395511674e+14	3343	488152848.5	3343
28	2.395231563e+14	3343	487900064.4	3343
29	2.385902144e+14	3343	486074886.6	3343
30	2.384288616e+14	3343	486070957.1	3343
31	2.370732078e+14	3343	484876734.7	3343
32	2.339150418e+14	3343	480036832.2	3343
33	2.296229991e+14	3343	475572031.6	3343
34	2.29319081e+14	3343	474965943.7	3343
35	2.286927322e+14	3343	473137412.3	3343
36	2.28651906e+14	3343	473218114.7	3343
37	2.261328615e+14	3343	471315218.3	3343
38	2.233550543e+14	3343	468774036.5	3343
39	2.230575428e+14	3343	467988051.5	3343
40	2.212737944e+14	3343	465808774.8	3343
41	2.214082928e+14	3343	465502271.5	3343
42	2.211928856e+14	3343	464259449.6	3343
43	2.210816426e+14	3343	464329586.8	3343
44	2.196829668e+14	3343	462337069.9	3343
45	2.191034242e+14	3343	461172637.2	3343
46	2.190953757e+14	3343	460908550	3343
47	2.192289385e+14	3343	460977469.1	3343
48	2.19330002e+14	3343	461049136.2	3343
49	2.181082619e+14	3343	460039184.8	3343
50	2.146796078e+14	3343	457950027.3	3343
51	2.136902483e+14	3343	456781641.1	3343
52	2.128295521e+14	3343	455857703.4	3343
53	2.128760591e+14	3343	455875659.5	3343
54	2.122222362e+14	3343	454921143.8	3343
55	2.122903111e+14	3343	454726521.8	3343
56	2.124906217e+14	3343	454899770.2	3343
57	2.1171769e+14	3343	454209064.3	3343
58	2.116042498e+14	3343	454146654.5	3343
59	2.113844301e+14	3343	453320239.6	3343
60	2.114116514e+14	3343	453052509.8	3343
61	2.114139497e+14	3343	453092093.5	3343
62	2.109870079e+14	3343	451405194.9	3343
63	2.110159834e+14	3343	451348174.4	3343
64	2.10662373e+14	3343	451008062	3343
65	2.10457668e+14	3343	450720006	3343
66	2.101294575e+14	3343	450295950.5	3343
67	2.096639333e+14	3343	448952437.9	3343
68	2.097982587e+14	3343	448545891.9	3343
69	2.093851065e+14	3343	447811395	3343
70	2.093766263e+14	3343	447860614.1	3343
71	2.093105094e+14	3343	447787942.5	3343
72	2.085630517e+14	3343	447097873.6	3343
73	2.075036955e+14	3343	446093178.9	3343
74	2.074394205e+14	3343	446061578.3	3343
75	2.074751911e+14	3343	446042747.7	3343
76	2.054258566e+14	3343	444610186.9	3343
77	2.036929101e+14	3343	443241754.3	3343
78	2.037419972e+14	3343	443334366.5	3343
79	2.012113563e+14	3343	441910381.1	3343
80	2.011376116e+14	3343	441872688.3	3343
81	2.010386193e+14	3343	441742526.7	3343
82	2.005434879e+14	3343	441066006.2	3343
83	1.992121444e+14	3343	440515137.2	3343
84	1.989183905e+14	3343	439465512.6	3343
85	1.975621869e+14	3343	438836394.8	3343
86	1.973836869e+14	3343	438862094.6	3343
87	1.967193612e+14	3343	438043514.6	3343
88	1.967557034e+14	3343	437834051.9	3343
89	1.965186263e+14	3343	436941991.3	3343
90	1.963503945e+14	3343	436393997.5	3343
91	1.963452185e+14	3343	436387657.3	3343
92	1.965470854e+14	3343	436575309.4	3343
93	1.962643824e+14	3343	436370077	3343
94	1.954690182e+14	3343	436088721.5	3343
95	1.956705482e+14	3343	436179539.1	3343
96	1.955707082e+14	3343	435654011	3343
