iter	Passed	Remaining
0	59	29791
1	67	16688
2	76	12739
3	82	10273
4	90	8964
5	95	7825
6	100	7055
7	104	6451
8	110	6014
9	117	5758
10	123	5485
11	127	5205
12	132	4964
13	140	4886
14	147	4754
15	152	4598
16	158	4492
17	162	4347
18	167	4227
19	172	4128
20	176	4030
21	181	3939
22	197	4101
23	203	4035
24	208	3966
25	213	3896
26	218	3832
27	224	3782
28	231	3754
29	238	3731
30	242	3667
31	248	3630
32	253	3581
33	257	3535
34	264	3519
35	270	3481
36	275	3448
37	281	3416
38	287	3399
39	291	3349
40	295	3313
41	301	3287
42	306	3262
43	311	3229
44	316	3204
45	322	3179
46	327	3155
47	334	3150
48	340	3134
49	344	3098
50	348	3071
51	353	3048
52	357	3015
53	363	2998
54	367	2973
55	373	2961
56	377	2931
57	382	2917
58	386	2890
59	391	2871
60	397	2859
61	403	2853
62	409	2838
63	413	2820
64	417	2791
65	419	2759
66	424	2741
67	427	2716
68	429	2681
69	434	2666
70	438	2649
71	443	2634
72	449	2628
73	454	2615
74	459	2604
75	465	2595
76	469	2581
77	474	2566
78	485	2584
79	490	2576
80	495	2564
81	500	2549
82	505	2541
83	512	2537
84	517	2525
85	522	2514
86	525	2492
87	530	2481
88	534	2466
89	537	2449
90	543	2441
91	547	2429
92	549	2404
93	553	2392
94	558	2382
95	562	2367
96	566	2352
97	570	2341
98	576	2333
99	580	2322
100	585	2311
101	590	2303
102	595	2293
103	600	2286
104	605	2277
105	611	2272
106	615	2261
107	616	2239
108	620	2226
109	624	2213
110	629	2204
111	633	2193
112	637	2183
113	640	2170
114	645	2161
115	649	2150
116	653	2137
117	656	2126
118	660	2114
119	664	2104
120	668	2092
121	671	2081
122	675	2071
123	680	2064
124	686	2058
125	690	2049
126	694	2041
127	699	2032
128	703	2023
129	707	2013
130	711	2003
131	715	1995
132	720	1988
133	724	1978
134	728	1969
135	732	1960
136	736	1951
137	740	1941
138	745	1936
139	748	1925
140	753	1917
141	756	1906
142	760	1898
143	764	1890
144	767	1879
145	770	1867
146	774	1860
147	778	1852
148	783	1845
149	787	1836
150	792	1830
151	796	1822
152	800	1815
153	805	1810
154	809	1802
155	813	1794
156	817	1785
157	821	1777
158	825	1770
159	829	1762
160	832	1753
161	836	1745
162	839	1736
163	844	1730
164	848	1723
165	853	1716
166	856	1707
167	860	1701
168	864	1693
169	868	1686
170	872	1678
171	876	1672
172	880	1664
173	884	1657
174	887	1649
175	892	1642
176	896	1635
177	899	1628
178	903	1620
179	907	1613
180	912	1607
181	916	1600
182	921	1596
183	924	1588
184	927	1579
185	932	1573
186	935	1565
187	939	1559
188	943	1553
189	947	1546
190	951	1539
191	955	1533
192	960	1527
193	964	1521
194	968	1515
195	976	1514
196	982	1511
197	986	1504
198	991	1499
199	996	1494
200	1000	1488
201	1005	1482
202	1009	1477
203	1013	1471
204	1018	1465
205	1021	1458
206	1026	1452
207	1030	1446
208	1034	1441
209	1039	1434
210	1043	1428
211	1047	1423
212	1052	1417
213	1055	1410
214	1060	1405
215	1064	1399
216	1069	1394
217	1074	1389
218	1080	1385
219	1085	1381
220	1089	1375
221	1096	1372
222	1101	1368
223	1105	1362
224	1109	1356
225	1114	1351
226	1119	1346
227	1124	1340
228	1129	1336
229	1136	1334
230	1141	1329
231	1147	1325
232	1152	1321
233	1157	1315
234	1161	1310
235	1169	1307
236	1173	1302
237	1177	1296
238	1181	1290
239	1186	1285
240	1191	1280
241	1196	1275
242	1201	1271
243	1205	1264
244	1208	1258
245	1214	1253
246	1217	1246
247	1220	1240
248	1224	1234
249	1230	1230
250	1233	1223
251	1236	1216
252	1240	1210
253	1243	1204
254	1246	1197
255	1251	1193
256	1255	1187
257	1260	1182
258	1266	1178
259	1272	1174
260	1277	1169
261	1282	1165
262	1286	1159
263	1291	1154
264	1295	1148
265	1298	1142
266	1303	1137
267	1306	1131
268	1311	1126
269	1316	1121
270	1319	1114
271	1322	1108
272	1326	1102
273	1332	1098
274	1337	1094
275	1342	1089
276	1347	1084
277	1351	1079
278	1355	1073
279	1359	1068
280	1364	1063
281	1369	1059
282	1374	1053
283	1379	1049
284	1383	1043
285	1387	1038
286	1390	1032
287	1395	1027
288	1398	1021
289	1403	1016
290	1410	1012
291	1414	1007
292	1419	1002
293	1424	997
294	1429	993
295	1434	988
296	1439	983
297	1443	978
298	1447	973
299	1451	967
300	1456	962
301	1461	958
302	1465	952
303	1468	947
304	1472	941
305	1476	936
306	1482	932
307	1488	927
308	1493	923
309	1497	917
310	1502	912
311	1508	908
312	1512	903
313	1516	898
314	1520	893
315	1525	888
316	1528	882
317	1532	876
318	1536	871
319	1540	866
320	1544	861
321	1548	855
322	1552	850
323	1558	846
324	1561	841
325	1566	836
326	1570	831
327	1575	826
328	1578	820
329	1583	815
330	1589	811
331	1593	806
332	1597	801
333	1602	796
334	1606	791
335	1610	785
336	1614	781
337	1618	775
338	1625	772
339	1629	766
340	1634	762
341	1639	757
342	1646	753
343	1652	749
344	1658	745
345	1664	740
346	1669	736
347	1676	732
348	1681	727
349	1685	722
350	1692	718
351	1696	713
352	1703	709
353	1707	704
354	1712	699
355	1717	694
356	1722	689
357	1726	684
358	1731	679
359	1734	674
360	1739	669
361	1744	665
362	1748	659
363	1753	655
364	1758	650
365	1762	645
366	1767	640
367	1773	636
368	1778	631
369	1783	626
370	1788	621
371	1792	616
372	1796	611
373	1800	606
374	1806	602
375	1810	597
376	1814	591
377	1818	586
378	1821	581
379	1824	576
380	1829	571
381	1833	566
382	1837	561
383	1842	556
384	1846	551
385	1850	546
386	1854	541
387	1859	536
388	1863	531
389	1867	526
390	1872	521
391	1877	517
392	1881	512
393	1886	507
394	1890	502
395	1894	497
396	1898	492
397	1903	487
398	1907	482
399	1912	478
400	1916	473
401	1920	468
402	1924	463
403	1927	457
404	1933	453
405	1937	448
406	1942	443
407	1946	438
408	1950	433
409	1959	430
410	1964	425
411	1968	420
412	1972	415
413	1977	410
414	1983	406
415	1988	401
416	1993	396
417	1997	391
418	2000	386
419	2005	381
420	2009	377
421	2013	372
422	2017	367
423	2022	362
424	2027	357
425	2034	353
426	2039	348
427	2044	343
428	2051	339
429	2056	334
430	2063	330
431	2069	325
432	2073	320
433	2080	316
434	2085	311
435	2090	306
436	2096	302
437	2101	297
438	2104	292
439	2108	287
440	2115	283
441	2121	278
442	2126	273
443	2133	269
444	2137	264
445	2142	259
446	2148	254
447	2153	249
448	2158	245
449	2163	240
450	2167	235
451	2173	230
452	2178	226
453	2184	221
454	2189	216
455	2195	211
456	2201	207
457	2206	202
458	2212	197
459	2217	192
460	2221	187
461	2225	183
462	2230	178
463	2234	173
464	2237	168
465	2242	163
466	2247	158
467	2251	153
468	2256	149
469	2262	144
470	2266	139
471	2272	134
472	2277	130
473	2288	125
474	2295	120
475	2351	118
476	2369	114
477	2393	110
478	2398	105
479	2431	101
480	2437	96
481	2445	91
482	2452	86
483	2455	81
484	2461	76
485	2466	71
486	2472	66
487	2476	60
488	2481	55
489	2484	50
490	2491	45
491	2494	40
492	2498	35
493	2502	30
494	2508	25
495	2513	20
496	2518	15
497	2523	10
498	2528	5
499	2534	0
