bedrooms,property_type,locality,postal_code,kitchen,facades,price,furnished,terraceSurface,fireplace,buildingState,gardenSurface,pool,livingArea,surfaceOfThePlot,energy_certificate,province,buildingStateLabel
1.0,APARTMENT,ANTWERPEN,2020.0,0.0,3.0,169000.0,0.0,2.0,0.0,TO_RENOVATE,0.0,0.0,70.0,,D,Antwerp,
2.0,APARTMENT,Ixelles,1050.0,1.0,2.0,335000.0,0.0,0.0,0.0,GOOD,0.0,0.0,81.0,,F,Brussels,
1.0,APARTMENT,DEURNE,2100.0,1.0,2.0,239000.0,0.0,0.0,0.0,GOOD,45.0,0.0,88.0,,D,Antwerp,
2.0,APARTMENT,Uccle,1180.0,1.0,2.0,239000.0,0.0,10.0,0.0,TO_BE_DONE_UP,0.0,0.0,76.0,,D,Brussels,
4.0,HOUSE,Kluisbergen,9690.0,0.0,2.0,239000.0,0.0,0.0,0.0,GOOD,0.0,0.0,172.0,510.0,C,East Flanders,
4.0,HOUSE,Engis,4480.0,1.0,4.0,260000.0,0.0,27.0,0.0,GOOD,559.0,0.0,152.0,696.0,D,Liège,
4.0,HOUSE,Dilbeek,1700.0,1.0,3.0,525000.0,0.0,35.0,0.0,AS_NEW,150.0,0.0,225.0,322.0,E,Flemish Brabant,
2.0,APARTMENT,BERCHEM,2600.0,1.0,3.0,225000.0,0.0,5.0,0.0,AS_NEW,0.0,0.0,85.0,,B,Antwerp,
3.0,APARTMENT,EDEGEM,2650.0,1.0,,249000.0,0.0,6.0,0.0,TO_RENOVATE,0.0,0.0,110.0,,B,Antwerp,
2.0,APARTMENT,DEURNE,2100.0,1.0,2.0,154000.0,0.0,4.0,0.0,AS_NEW,0.0,0.0,70.0,,B,Antwerp,
3.0,HOUSE,LIER,2500.0,1.0,2.0,365000.0,0.0,10.0,0.0,GOOD,278.0,0.0,183.0,370.0,D,Antwerp,
3.0,HOUSE,PUURS,2870.0,1.0,2.0,369000.0,0.0,18.0,0.0,GOOD,21.0,0.0,202.0,120.0,C,Antwerp,
2.0,APARTMENT,BERCHEM,2600.0,1.0,,289000.0,0.0,7.0,0.0,GOOD,0.0,0.0,100.0,,B,Antwerp,
3.0,APARTMENT,Antwerpen,2020.0,1.0,2.0,320000.0,0.0,1.0,0.0,GOOD,0.0,0.0,125.0,,B,Antwerp,
3.0,HOUSE,Ans,4430.0,1.0,2.0,344000.0,0.0,112.0,0.0,AS_NEW,300.0,1.0,133.0,540.0,C,Liège,
4.0,HOUSE,MEERDONK,9170.0,1.0,3.0,399000.0,0.0,12.0,0.0,GOOD,110.0,0.0,232.0,336.0,D,East Flanders,
4.0,HOUSE,Gent Mariakerke,9030.0,1.0,3.0,620000.0,0.0,30.0,0.0,GOOD,478.0,0.0,265.0,629.0,B,East Flanders,
4.0,HOUSE,Wortegem-Petegem,9790.0,0.0,4.0,699000.0,0.0,0.0,0.0,GOOD,0.0,0.0,285.0,971.0,C,East Flanders,
4.0,APARTMENT,TURNHOUT,2300.0,1.0,3.0,235000.0,0.0,0.0,0.0,GOOD,0.0,0.0,147.0,,C,Antwerp,
1.0,APARTMENT,Saint-Josse-ten-Noode,1210.0,1.0,2.0,165000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,62.0,,E,Brussels,
